"Data";"AP_1.0";"AP_2.1";"AP_2.2";"AP_3.1";"AP_3.2";"AP_3.3";"AP_4.0";"AP_5.1";"AP_5.2";"AP_5.3"
"2005-08";21,25127;20,37812;19,90391;20,93283;21,36213;20,97578;19,25022;19,84592;18,87862;18,61667
"2005-09";20,54094;18,84589;19,5192;19,61646;20,41706;19,60936;18,99002;19,35412;17,95295;17,86208
"2005-10";21,92765;20,29814;20,49008;22,04924;22,08088;22,4069;20,27361;20,91943;20,18477;20,06058
"2005-11";20,66129;19,29664;19,57681;18,71358;21,45025;21,0148;18,59118;20,05002;19,52905;19,2035
"2005-12";19,27947;17,87203;18,11791;19,99695;20,51531;20,50874;18,63374;19,09682;18,52136;18,37965
"2006-01";25,11658;23,2243;23,31891;25,1597;25,3176;25,50402;23,20355;24,23901;23,81905;23,68495
"2006-02";25,0419;23,50261;22,95526;24,84735;25,01843;24,75602;23,45016;23,45373;23,22021;22,95646
"2006-03";23,59087;22,18361;21,91942;23,15829;23,99998;23,93412;22,10547;22,56554;22,12026;22,51229
"2006-04";21,59968;20,99921;20,50386;21,20677;21,91793;21,1077;20,11267;20,41118;20,46061;20,7894
"2006-05";19,01351;18,69707;17,64334;19,19699;19,00576;19,04158;17,51861;17,95305;17,77021;16,761
"2006-06";19,07645;18,6527;17,8504;18,86549;18,83438;18,70311;17,5295;17,81304;17,56228;16,5911
"2006-07";19,19125;19,13305;18,6144;18,92643;19,51346;19,15395;17,94123;18,04586;17,61385;16,41731
"2006-08";20,51836;20,01414;19,63588;20,22712;20,83024;20,57881;19,12403;19,31334;18,69469;18,00742
"2006-09";20,29945;19,18466;19,39054;20,47237;20,92578;20,91084;19,11617;19,54498;19,09775;18,93462
"2006-10";20,83341;18,88866;19,34088;20,77002;21,52624;20,84319;18,91;19,6632;19,48673;19,34008
"2006-11";16,6845;15,21255;15,21952;16,16293;16,84508;17,68101;15,18999;16,78199;17,29611;18,25818
"2006-12";24,04468;21,33856;22,15971;23,81194;24,37;24,64352;22,11752;22,93283;22,61372;22,30196
"2007-01";18,71505;16,19314;19,37057;22,99935;23,85577;23,22171;21,63323;22,07417;21,24533;21,654
"2007-02";24,27042;22,4578;22,40309;24,32637;24,73274;24,36438;22,17767;23,24393;22,65967;22,70819
"2007-03";25,54836;23,79888;23,79058;25,47472;26,00327;25,77515;23,26023;23,99845;23,38985;23,77125
"2007-04";23,05858;21,96136;21,57;23,18174;23,32615;23,31447;21,71584;22,41203;21,96828;22,02662
"2007-05";20,38885;19,67404;19,10314;19,92508;19,9035;19,62689;18,65281;18,69668;18,6841;18,93516
"2007-06";19,40789;19,12207;18,7311;19,08236;19,45444;19,31944;18,22024;18,43209;17,91003;17,75774
"2007-07";18,82275;18,6949;18,50205;18,5368;19,15343;18,64034;17,67062;17,7633;17,53196;17,35783
"2007-08";19,45418;18,90074;18,56395;19,41963;19,73733;19,3081;18,01917;18,22942;18,27623;17,60876
"2007-09";21,21309;20,04243;20,45534;20,97817;21,43153;21,32405;19,5371;20,4214;19,71471;19,77657
"2007-10";21,52788;19,56446;20,15608;21,43654;21,98468;21,56525;19,64707;20,49799;19,55496;19,11963
"2007-11";19,96911;18,00588;17,13401;19,78953;19,36452;19,9233;17,90877;18,53031;18,34118;18,8257
"2007-12";24,04855;22,29322;22,19282;23,91922;24,67128;24,69842;21,56145;23,35896;21,30546;22,2378
"2008-01";23,64711;22,21862;22,18013;23,5324;23,02066;23,37431;21,65215;22,5015;22,80768;21,80133
