18023.67 18495.89 18746.75 19100.92 19108.30
18850.05 19255.87 19565.76 19809.25 19425.57
19440.33 19093.54 19005 18805.78 18717.24
18451.62 18436.86 18141.72 18222.89 18038.43
18031.05 17603.10 17758.04 17699.02 17440.77
17418.64 17706.40 17610.48 168326.5 168370.8
168511.0 168385.5 167492.7 167411.6 166024.4
165928.5 165707.2 165286.6 165124.3 165264.5
165094.8 165242.3 165057.9 165065.2 165345.6
165360.4 165596.5 165626 165899 165906.4
166120.4 166518.8 166636.8 166909.8 167389.4
167647.7
