"Data";"AP_1.0";"AP_2.1";"AP_2.2";"AP_3.1";"AP_3.2";"AP_3.3";"AP_4.0";"AP_5.1";"AP_5.2";"AP_5.3"
"1985-09";180,2382;130,6311;179,8615;118,1312;150,7983;124,0463;135,2877;122,7681;111,9795;93,22211
"1985-10";75,41792;57,29433;70,66733;61,32072;60,88953;55,37228;61,82038;61,48645;65,32867;71,50497
"1985-11";119,3784;106,5831;102,4361;79,90362;81,49035;73,53489;77,53706;88,64891;72,60249;76,86737
"1985-12";268,7373;266,2079;283,2947;184,7739;233,9341;196,504;231,2882;230,4077;205,2132;220,9868
"1986-01";80,79593;75,89287;83,54891;73,02102;72,07446;72,97943;76,5945;86,56732;77,61472;90,69537
"1986-02";207,66;180,1736;225,0395;177,8533;199,3936;183,4741;188,0311;208,267;183,6622;185,7258
"1986-03";191,0887;176,3761;259,3377;164,4487;212,0337;167,6751;202,028;225,2757;206,5534;190,9595
"1986-04";199,1173;156,5173;203,2477;104,3649;153,853;110,1181;145,7832;166,3355;111,8492;83,87977
"1986-05";89,77781;63,97733;91,30322;55,51837;69,14856;60,6988;77,66139;73,43351;68,73729;67,81312
"1986-06";38,3137;24,56806;38,25722;21,37823;30,0004;21,13809;27,32317;25,29254;23,39782;16,50742
"1986-07";165,9708;114,459;152,5389;74,21706;109,3944;76,37391;108,8518;95,34292;92,41726;88,22174
"1986-08";103,0241;68,54767;114,5779;59,34293;88,49702;58,83223;79,54932;74,92437;71,73212;71,51744
"1986-09";81,80636;57,13929;82,18064;57,32887;71,66445;63,34006;70,12129;64,39027;56,72022;48,81162
"1986-10";55,36441;46,25487;53,90971;39,26579;46,9843;38,93689;45,69374;37,48537;40,88082;35,96375
"1986-11";86,67522;79,55309;96,87879;59,93568;84,56721;68,22485;85,78539;78,57392;76,13503;76,29658
"1986-12";284,2548;283,9824;352,5619;222,4678;291,7874;238,7779;297,1832;280,2847;281,7703;328,4928
"1987-01";195,865;184,1805;214,5892;155,9349;188,9086;188,5965;209,0694;241,8388;231,9829;245,8805
"1987-02";189,6194;156,9393;197,3651;150,9323;179,2836;152,3155;162,7403;161,3496;156,8741;164,8479
"1987-03";98,46696;84,96765;91,42408;82,99632;76,05907;82,77707;93,4141;106,4241;104,0513;120,4925
"1987-04";265,9552;208,2246;260,8638;172,2502;206,4389;184,5744;250,2686;278,691;228,2325;217,0655
"1987-05";157,8009;117,629;185,8814;99,57481;139,598;102,5479;143,0217;132,1002;118,0831;110,4086
"1987-06";171,4583;109,4711;165,7329;85,93304;124,4448;72,7909;110,6536;96,94729;109,9705;114,0392
"1987-07";38,13315;28,3146;42,87646;22,45817;31,31839;23,26274;34,49599;30,92738;32,64631;30,49697
"1987-08";64,33774;40,52387;61,60903;35,00201;47,87294;31,49547;41,82756;34,83708;31,85042;29,24972
"1987-09";151,5235;107,0454;150,824;98,86844;132,4473;99,07289;115,7544;85,85596;98,93737;84,36829
"1987-10";122,7983;108,4274;126,9165;68,00091;109,2189;80,73956;99,37775;98,69265;90,74663;80,61552
"1987-11";89,62798;86,83785;95,37339;62,04192;74,95291;65,98104;78,42541;83,67097;74,47218;80,50513
"1987-12";175,8892;174,854;196,7084;134,7825;166,4245;139,8601;156,744;148,4853;145,297;161,3026
"1988-01";111,7129;102,4658;109,3195;89,38681;95,14628;106,5396;109,8255;131,3385;134,8211;151,7234
"1988-02";499,8062;424,3918;512,4437;435,6997;464,7015;468,0406;511,9981;540,5155;527,8558;510,633
"1988-03";163,2341;144,206;181,4155;124,9823;152,0785;134,5245;168,5584;163,242;162,3508;173,6528
"1988-04";196,0386;160,7544;211,9287;156,9084;185,4182;161,1872;196,9521;183,8648;173,2708;168,3396
"1988-05";207,3433;136,0988;194,3121;114,2074;162,5771;108,5121;139,2374;130,6327;122,1559;97,49326
"1988-06";108,205;66,00163;89,97493;65,79543;68,55159;67,4384;86,47356;63,46464;79,94234;67,05013
"1988-07";79,24186;55,39481;75,98229;35,72688;54,38306;36,21987;54,6659;46,26648;46,00599;36,85608
"1988-08";28,37599;17,63719;26,03134;14,4638;19,56189;13,36434;18,19876;16,94307;16,63587;17,14748
"1988-09";74,02518;55,10431;74,73302;49,09866;65,76904;51,68071;64,66144;52,60579;48,35145;45,24838
"1988-10";193,6686;158,6407;182,9877;139,5068;154,8847;135,8404;157,6516;131,7523;136,9348;138,9646
"1988-11";207,571;201,2981;213,2622;139,6431;176,2947;134,3756;155,7596;143,737;114,135;103,8407
"1988-12";167,8555;157,0556;166,2987;120,2815;141,7308;112,6327;140,6086;126,4637;132,301;139,047
"1989-01";165,4177;149,8291;165,1333;113,4192;138,9558;131,5139;142,7108;160,5756;149,1026;165,5552
"1989-02";177,2444;154,4112;195,5759;146,889;172,5612;161,5865;176,6713;195,6781;167,0646;191,8936
"1989-03";80,28319;66,13361;86,28178;86,6286;83,58345;99,84243;95,09327;117,8133;101,5943;107,138
"1989-04";113,2187;99,8331;127,2084;74,87778;94,8357;76,0522;102,5628;100,0397;104,8937;116,3158
"1989-05";90,69118;62,60007;89,11375;52,74545;65,49119;50,80459;67,80372;65,00317;62,15352;62,59637
"1989-06";77,62768;48,04466;76,49606;47,97678;66,85125;56,86346;64,99835;78,22435;68,0993;52,72258
"1989-07";159,5338;108,9281;154,2141;71,97345;111,8017;74,29515;105,8313;92,07913;84,00818;75,1781
"1989-08";85,62108;54,78605;76,03095;39,8189;52,30204;38,85005;50,37395;49,67701;47,72353;49,1324
"1989-09";148,3598;104,5895;136,0117;78,17866;101,36;83,57307;100,6775;86,12933;96,55848;105,4342
"1989-10";86,15324;71,32136;82,69016;58,18504;68,90688;55,2711;62,83943;50,05538;51,04243;55,5451
"1989-11";87,15227;87,18809;87,42481;56,73346;64,17745;58,03865;77,16142;94,03922;92,04926;103,4851
"1989-12";118,9778;115,3168;123,9657;79,2486;108,6042;89,88016;110,4999;117,1729;108,1314;115,1496
"1990-01";103,0306;100,669;105,2589;70,56552;85,06089;83,17174;93,17529;108,3149;99,35997;116,1128
"1990-02";46,04857;33,91349;43,06004;42,41368;42,44849;42,47677;40,24979;44,48174;46,12852;55,2238
"1990-03";126,852;110,7044;130,6193;111,0594;115,6755;101,4518;114,6;112,949;106,702;123,4513
"1990-04";281,1079;222,5146;290,5521;167,2729;224,3356;182,982;223,3855;236,3605;182,5144;173,9211
"1990-05";148,5107;100,9315;143,7292;84,29759;107,9843;82,13611;107,4316;91,59713;85,91049;75,07792
"1990-06";46,10658;32,73357;45,83687;31,91046;33,41803;31,66364;38,60746;40,24214;36,72522;39,29955
"1990-07";86,27949;58,81606;86,26004;41,18197;68,20375;51,21377;70,93616;67,12812;65,29714;52,706
"1990-08";112,0691;67,57748;111,0113;58,21918;94,81297;61,5979;92,62897;64,37421;73,56739;73,45385
